Years,Measures,China,Japan,Brazil,Canada,United States,United Kingdom,Italy,India,France,Germany
2016,GDP Growth Rate,6.87,0.75,-3.28,1,1.71,1.72,1.29,8.26,1.1,2.23
2017,GDP Growth Rate,6.95,1.68,1.32,3.04,2.33,1.74,1.67,6.8,2.29,2.6
2018,GDP Growth Rate,6.73,0.56,1.78,2.43,3,1.25,0.94,6.53,1.87,1.27
2019,GDP Growth Rate,5.82,0.27,1.41,1.86,2.16,1.43,0.29,4.04,1.49,0.56
2020,GDP Growth Rate,2.27,-4.83,-4.06,-5.4,-3.51,-9.92,-8.87,-7.97,-8.23,-4.9
2021,GDP Growth Rate,8.44,3.25,3.66,5.05,6.39,5.34,4.15,12.55,5.81,3.6
2022*,GDP Growth Rate,5.57,2.53,2.57,4.65,3.52,5.07,3.6,6.93,4.22,3.42
2023*,GDP Growth Rate,5.44,1.14,2.14,2.22,1.41,2,1.56,6.82,1.71,1.57
2024*,GDP Growth Rate,5.27,0.69,2.02,1.38,1.48,1.76,0.91,6.69,1.48,1.46
2025*,GDP Growth Rate,5.12,0.57,2.02,1.42,1.61,1.55,0.85,6.62,1.36,1.15
2026*,GDP Growth Rate,4.86,0.49,2.02,1.55,1.61,1.45,0.82,6.54,1.24,1.09
2016,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2017,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2018,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2019,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2020,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2021,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2022*,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2023*,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2024*,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2025*,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2026*,Population,1439323774,126476458,212559409,37742157,331002647,67886004,60461828,1380004385,65273512,83783945
2016,Inflation ,2,-0.12,8.74,1.43,1.26,0.66,-0.05,4.5,0.31,0.37
2017,Inflation ,1.6,0.47,3.45,1.6,2.14,2.68,1.33,3.6,1.17,1.7
2018,Inflation ,2.1,0.98,3.67,2.27,2.44,2.48,1.24,3.43,2.1,1.94
2019,Inflation ,2.9,0.48,3.73,1.95,1.81,1.79,0.63,4.76,1.3,1.35
2020,Inflation ,2.5,-0.02,3.21,0.72,1.25,0.85,-0.15,6.2,0.53,0.37
2021,Inflation ,1.2,0.14,4.64,1.69,2.26,1.51,0.76,4.89,1.08,2.25
2022*,Inflation ,1.9,0.7,4,2,2.4,1.86,0.88,4.07,1.17,1.1
2023*,Inflation ,1.9,0.66,3.08,2.25,2.5,1.96,1.04,3.91,1.33,1.49
2024*,Inflation ,2,0.87,3.33,2.08,2.45,2,1.23,4.01,1.44,1.65
2025*,Inflation ,2,0.96,3.2,2.02,2.37,2,1.34,4.01,1.61,1.86
2026*,Inflation ,2,0.96,3.25,2.01,2.25,2,1.34,4.02,1.56,2.06
2016,GDP per Capita,8119.62,39411.42,8757.31,42382.64,58017.23,41177.83,30932.78,1732.05,38348.51,42124.32
2017,GDP per Capita,8823.46,38903.3,9978.09,45191.96,60105.85,40349.87,32367.11,1980.69,40134.13,44537.1
2018,GDP per Capita,9919.81,39818.8,9194.15,46532.17,63055.98,43063.74,34605.68,1996.95,43044.25,47832.06
2019,GDP per Capita,10242.92,40801.66,8932.39,46399.71,65253.52,42416.6,33219.85,2098.93,41810.72,46472.62
2020,GDP per Capita,10483.88,40146.07,6783.05,43278.22,63415.99,40406.28,31288.02,1964.88,39907.14,45732.8
2021,GDP per Capita,11819.03,42927.73,7010.84,49221.69,68308.97,46343.67,34996.91,2190.9,44995.24,51860.11
2022*,GDP per Capita,12763.35,45310.91,7643.8,52501.98,71895.79,49326.86,37115.88,2357.64,47934.42,55144.37
2023*,GDP per Capita,13736.01,48118.31,8218.56,54825.1,74130.27,51319.61,38202.48,2532.09,49377.72,57014.54
2024*,GDP per Capita,14764.74,49904.9,8878.58,56800.31,76362.22,53619.41,39095.28,2714.71,50756.91,58976.41
2025*,GDP per Capita,15855.42,51620.42,9420.35,58881.89,78660.27,56033.87,39969.02,2908.84,52129.96,60915.01
2026*,GDP per Capita,17003.09,53373.78,9927.48,61199.4,80958.76,58601.89,40838.78,3114.63,53437.65,62969.27
2016,GDP,11227.08,5003.68,1796.62,1528,18745.1,2703.24,1876.55,2294.12,2472.28,3468.9
2017,GDP,12265.32,4930.84,2063.52,1649.27,19542.98,2664.71,1961.11,2651.47,2594.24,3681.3
2018,GDP,13841.9,5036.89,1916.93,1721.82,20611.88,2860.98,2093.09,2701.11,2791.16,3965.57
2019,GDP,14340.6,5148.78,1877.11,1741.58,21433.23,2833.3,2005.14,2870.5,2717.2,3861.55
2020,GDP,14722.84,5048.69,1434.08,1643.41,20932.75,2710.97,1884.94,2708.77,2598.91,3803.01
2021,GDP,16642.32,5378.14,1491.77,1883.49,22675.27,3124.65,2106.29,3049.7,2938.27,4319.29
2022*,GDP,18013.4,5653.46,1636.41,2030.62,24003.7,3340.84,2231.94,3312.95,3138.87,4598.12
2023*,GDP,19423.48,5977.36,1769.71,2142.96,24892.61,3490.27,2295.73,3591.03,3242.5,4757.65
2024*,GDP,20910.47,6170.37,1922.41,2243.38,25790.12,3660.58,2348.23,3884.73,3342.41,4923.01
2025*,GDP,22481.43,6351.1,2050.39,2349.54,26719.63,3838.71,2400.01,4199.01,3442.45,5084.35
2026*,GDP,24127.83,6533.02,2172.08,2466.74,27659.15,4027.86,2451.38,4534.34,3538.7,5253.1
